timestamp,capteur 0,capteur 1,capteur 2,capteur 3,capteur 4,capteur 5,capteur 6,capteur 7,capteur 8,capteur 9,capteur 10,capteur 11,capteur 12
2024-06-12 15:59:18,534.0,588.0,542.0,535.0,532.0,462.0,696.0,571.0,3.0,3.0,653.0,760.0,615.0
2024-06-12 15:59:19,533.0,587.0,545.0,535.0,531.0,466.0,693.0,573.0,3.0,0.0,654.0,757.0,615.0
2024-06-12 15:59:20,544.0,592.0,544.0,515.0,537.0,473.0,681.0,555.0,2.0,1.0,660.0,748.0,607.0
2024-06-12 15:59:21,543.0,608.0,550.0,540.0,539.0,477.0,702.0,592.0,45.0,51.0,668.0,769.0,614.0
2024-06-12 15:59:22,548.0,607.0,550.0,544.0,540.0,482.0,703.0,606.0,41.0,93.0,663.0,768.0,613.0
2024-06-12 15:59:23,542.0,598.0,539.0,518.0,542.0,481.0,695.0,570.0,40.0,50.0,668.0,765.0,618.0
2024-06-12 15:59:24,536.0,598.0,543.0,534.0,531.0,473.0,702.0,576.0,45.0,69.0,664.0,763.0,611.0
2024-06-12 15:59:25,533.0,593.0,547.0,532.0,529.0,483.0,705.0,577.0,53.0,75.0,662.0,766.0,612.0
2024-06-12 15:59:26,529.0,591.0,546.0,534.0,531.0,464.0,697.0,582.0,53.0,72.0,659.0,769.0,613.0
2024-06-12 15:59:27,532.0,601.0,541.0,533.0,529.0,476.0,692.0,591.0,53.0,75.0,670.0,771.0,620.0
2024-06-12 15:59:28,531.0,595.0,543.0,534.0,527.0,476.0,691.0,593.0,54.0,83.0,670.0,775.0,621.0
2024-06-12 15:59:29,528.0,595.0,543.0,540.0,526.0,484.0,700.0,631.0,53.0,115.0,666.0,772.0,624.0
2024-06-12 15:59:30,525.0,588.0,547.0,537.0,523.0,475.0,706.0,623.0,53.0,132.0,666.0,769.0,623.0
2024-06-12 15:59:31,531.0,588.0,543.0,543.0,526.0,476.0,706.0,620.0,55.0,123.0,661.0,765.0,619.0
2024-06-12 15:59:32,528.0,587.0,546.0,544.0,528.0,484.0,708.0,620.0,55.0,120.0,664.0,767.0,616.0
2024-06-12 15:59:33,539.0,590.0,547.0,540.0,527.0,488.0,705.0,617.0,54.0,89.0,664.0,765.0,615.0
2024-06-12 15:59:34,528.0,592.0,547.0,541.0,528.0,480.0,702.0,619.0,54.0,100.0,668.0,767.0,622.0
2024-06-12 15:59:36,527.0,587.0,543.0,539.0,530.0,481.0,706.0,620.0,57.0,87.0,665.0,765.0,615.0
2024-06-12 15:59:37,531.0,593.0,548.0,541.0,534.0,486.0,707.0,619.0,54.0,100.0,665.0,770.0,614.0
2024-06-12 15:59:38,528.0,593.0,545.0,546.0,529.0,485.0,697.0,622.0,53.0,103.0,670.0,769.0,618.0
2024-06-12 15:59:39,528.0,589.0,545.0,543.0,531.0,481.0,695.0,621.0,52.0,98.0,667.0,767.0,619.0
2024-06-12 15:59:40,529.0,598.0,546.0,543.0,529.0,490.0,691.0,638.0,56.0,115.0,672.0,775.0,621.0
2024-06-12 15:59:41,529.0,591.0,545.0,540.0,534.0,484.0,698.0,620.0,52.0,86.0,669.0,770.0,614.0
2024-06-12 15:59:42,532.0,587.0,550.0,541.0,532.0,484.0,702.0,626.0,52.0,81.0,669.0,772.0,616.0
2024-06-12 15:59:43,528.0,590.0,547.0,545.0,531.0,494.0,687.0,637.0,53.0,102.0,668.0,772.0,620.0
2024-06-12 15:59:44,535.0,588.0,551.0,544.0,532.0,485.0,681.0,632.0,51.0,72.0,667.0,769.0,622.0
2024-06-12 15:59:45,524.0,599.0,551.0,547.0,533.0,481.0,680.0,640.0,53.0,121.0,673.0,773.0,623.0
2024-06-12 15:59:46,529.0,596.0,547.0,548.0,533.0,485.0,689.0,646.0,51.0,153.0,672.0,776.0,625.0
2024-06-12 15:59:47,525.0,589.0,549.0,547.0,532.0,483.0,694.0,646.0,51.0,158.0,669.0,769.0,620.0
